"","ONTOLOGY","ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment"
"GO:0003735","MF","GO:0003735","structural constituent of ribosome",223,0.722371162927229,3.11920815498242,1e-10,2.3656e-08,2.18357894736842e-08,1492,"tags=89%, list=27%, signal=68%","RDN5-2/RPL43B/RPS22A/RDN58-1/RPS28B/MRPL50/RPS6A/MRPS8/RPS26B/RPS9B/RPL29/RPL10/RPS1B/RPL9B/RPL42B/MRPL39/MRPL31/RPS19B/RPL11B/RPL12A/RPL27A/RPL9A/MRPL20/RPL36A/RPS18B/RPL41A/RPL35A/MRPL38/RPP1A/MRPS16/RPS24A/RPL16B/MNP1/RPL34A/RPL23B/RPL7A/RPS19A/RPL40B/RPL37B/RPL31A/RPS3/RPS17A/RPS8B/RPS11B/RPL21B/RPS30A/RPL24B/RPS7B/RPS6B/FYV4/RPL24A/RPL27B/RPL20B/RPS7A/RSM26/RPL18A/MRPL15/RPS24B/RPL14A/MRP10/RPL6B/RPL11A/RPL38/RPL43A/RPS11A/RPS10A/RPL34B/RPS31/RPL20A/RPS13/RPP1B/RPL39/MHR1/RPL21A/RPL13A/RPL36B/RPS15/RSM10/RPL28/RPS12/RPS16A/MRP20/RPS23B/RSM18/RPL40A/RPS16B/MRPL37/RPP2A/RPS21A/MRPL16/MRPL11/RPL22A/MRPL49/MRP13/SWS2/RPL37A/RPS10B/RPS17B/RPS1A/RPS20/RPS5/RPS2/RPS18A/MRPS28/RPL2A/RPL2B/RPL17A/RPL7B/RPS25A/RPL17B/RPL35B/RPL1A/RPS4A/MRPL9/RPL8A/MRPS17/RPL4A/RPL25/RPS29A/RPS21B/RPL15A/RPL32/RPL26A/MRPL24/RPL6A/RPS30B/RPS8A/RPL33B/MRPL28/MRPL19/RPS22B/RPL14B/RPS27A/MRPL10/MRPL8/RPL12B/RSM24/MRPL1/MRPL17/RPS26A/RPL22B/RPL16A/RPS29B/RLP7/MRPL7/MRPL33/MRPL36/MRP21/RPL30/MRP2/RPL19B/RPL33A/RPL13B/RPS23A/RPS4B/MRPL25/MRPS9/RPL5/RPL8B/RPL26B/MRP7/RPS28A/RPS0A/MRPL6/RTC6/RPS0B/IMG2/RPS14B/RPL1B/MRPL27/RPP2B/RPL15B/RPL42A/MRPL51/MRPL40/RSM19/MRPL32/RPS27B/MRPL44/RPL41B/MRP51/MRP17/MRX14/MRPL3/MRPS35/RML2/MRP4/MRPS5/MRPL22/RPL19A/MRPS12/EHD3/QRI5/MRP49/MRP1/RPS14A/PET123/MRPL35/RSM22"
"GO:0044391","CC","GO:0044391","ribosomal subunit",236,0.713595369707372,3.090486452423,1e-10,2.3656e-08,2.18357894736842e-08,1429,"tags=85%, list=26%, signal=66%","RDN5-2/RPL43B/RPS22A/RDN58-1/RPS28B/MRPL50/RPS6A/MRPS8/RPS26B/RPS9B/RPL29/RPL10/RPS1B/RPL9B/RPL42B/MRPL39/MRPL31/RPS19B/RPL11B/RPL12A/RPL27A/RPL9A/MRPL20/RPL36A/RPS18B/RPL41A/RPL35A/MRPL38/RPP1A/MRPS16/RPS24A/RPL16B/MNP1/RPL34A/RPL23B/RPL7A/RPS19A/RPL40B/RPL37B/RPL31A/RPS3/RPS17A/RPS8B/RPS11B/RPL21B/RPS30A/RPL24B/RPS7B/CIC1/RPS6B/FYV4/RPL24A/RPL27B/RPL20B/RPS7A/RSM26/RPL18A/MRPL15/RPS24B/RPL14A/MRP10/RPL6B/RPL11A/RPL38/RPL43A/RPS11A/RPS10A/RPL34B/RPS31/RPL20A/RPS13/RPP1B/RPL39/MHR1/RPL21A/RPL13A/RPL36B/RPS15/RSM10/RPL28/RPS12/RPS16A/MRP20/RPS23B/RSM18/RPL40A/RPS16B/MRPL37/RPP2A/RPS21A/MRPL16/MRPL11/RPL22A/MRPL49/MRP13/SWS2/RPL37A/RPS10B/RPS17B/RPS1A/RPS20/RPS5/RPS2/RPS18A/MRPS28/RPL2A/RPL2B/RPL17A/RPL7B/RPS25A/RPL17B/RPL35B/RPL1A/RPS4A/MRPL9/RPL8A/MRPS17/RPL4A/RPL25/RPS29A/RPS21B/RPL15A/RPL32/RPL26A/MRPL24/RPL6A/RPS30B/RPS8A/RPL33B/MRPL28/MRPL19/RPS22B/RPL14B/RPS27A/MRPL10/MRPL8/RPL12B/RSM24/MRPL1/MRPL17/RPS26A/SNU13/RPL22B/RPL16A/RPS29B/RLP7/MRPL7/MRPL33/MRPL36/MRP21/ASC1/NHP2/RPL30/MRP2/RPL19B/RPL33A/RPL13B/RPS23A/RPS4B/MRPL25/MRPS9/RPL5/RPL8B/RPL26B/MRP7/RPS28A/RPS0A/MRPL6/RTC6/RPS0B/IMG2/RPS14B/RPL1B/MRPL27/RPP2B/RPL15B/RPL42A/MRPL51/MRPL40/RSM19/MRPL32/RPS27B/FUN12/MRPL44/RPL41B/MRP51/MRP17/MRX14/MRPL3/MRPS35/RML2/MRP4/MRPS5/MRPL22/RPL19A/SIS1/MRPS12/PUF6/EHD3/QRI5/MRP49"
"GO:0005840","CC","GO:0005840","ribosome",264,0.681572904646794,2.99919791577831,1e-10,2.3656e-08,2.18357894736842e-08,1492,"tags=80%, list=27%, signal=62%","RDN5-2/RPL43B/RPS22A/RDN58-1/RPS28B/MRPL50/RPS6A/MRPS8/TEF4/RPS26B/RPS9B/RPL29/RPL10/RPS1B/RPL9B/RPL42B/MRPL39/MRPL31/RPS19B/RPL11B/RPL12A/RPL27A/RPL9A/MRPL20/RPL36A/RPS18B/RPL41A/RPL35A/MRPL38/RPP1A/MRPS16/RPS24A/RPL16B/MNP1/RPL34A/RPL23B/RPL7A/RPS19A/RPL40B/RPL37B/RPL31A/RPS3/RPS17A/RPS8B/RPS11B/RPL21B/RPS30A/RPL24B/RPS7B/CIC1/RPS6B/FYV4/RPL24A/RPL27B/RPL20B/RPS7A/RSM26/RPL18A/MRPL15/RPS24B/RPL14A/MRP10/RPL6B/RPL11A/RPL38/RPL43A/RPS11A/RPS10A/RPL34B/TMA22/RPS31/RPL20A/RPS13/RPP1B/RPL39/MHR1/RPL21A/RPL13A/RPL36B/RPS15/RSM10/RPL28/RPS12/RPS16A/MRP20/RPS23B/RSM18/RPL40A/RPS16B/MRPL37/RPP2A/RPS21A/MRPL16/MRPL11/RPL22A/MRPL49/MRP13/SWS2/RPL37A/RPS10B/RPS17B/RPS1A/RPS20/RPS5/RPS2/RPS18A/MRPS28/RPL2A/RPL2B/RPL17A/RPL7B/RPS25A/RPL17B/RPL35B/RPL1A/RPS4A/MRPL9/RPL8A/MRPS17/RPL4A/RPL25/RPS29A/RPS21B/RPL15A/RPL32/RPL26A/MRPL24/RPL6A/RPS30B/RPS8A/RPL33B/MRPL28/MRPL19/RPS22B/RPL14B/RPS27A/MRPL10/MRPL8/RPL12B/RSM24/MRPL1/MRPL17/RPS26A/SNU13/RPL22B/RPL16A/RPS29B/RLP7/MRPL7/MRPL33/MRPL36/MRP21/ASC1/NHP2/RPL30/MRP2/RPL19B/RPL33A/RPL13B/RPS23A/RPS4B/MRPL25/MRPS9/RPL5/RPL8B/RPL26B/MRP7/RPS28A/RPS0A/MRPL6/RTC6/COX11/RPS0B/IMG2/RPS14B/RPL1B/MRPL27/RPP2B/RPL15B/RPL42A/MRPL51/MRPL40/RSM19/MRPL32/RPS27B/FUN12/CBP3/MRPL44/RPL41B/MRP51/MRP17/ZUO1/MRX14/MRPL3/MRPS35/RML2/MRP4/MRPS5/MRPL22/RPL19A/SIS1/MRPS12/PUF6/EHD3/QRI5/MRP49/MRP1/RPS14A/PET123/MRPL35/RQC2/RSM22"
"GO:0022626","CC","GO:0022626","cytosolic ribosome",170,0.716180072229134,2.97414190513525,1e-10,2.3656e-08,2.18357894736842e-08,1142,"tags=78%, list=20%, signal=64%","RDN5-2/RPL43B/RPS22A/RDN58-1/RPS28B/RPS6A/RPS26B/RPS9B/RPL29/RPL10/RPS1B/RPL9B/RPL42B/RPS19B/RPL11B/RPL12A/RPL27A/RPL9A/RPL36A/RPS18B/RPL41A/RPL35A/RPP1A/RPS24A/RPL16B/RPL34A/RPL23B/RPL7A/RPS19A/RPL40B/RPL37B/RPL31A/RPS3/RPS17A/RPS8B/RPS11B/RPL21B/RPS30A/RPL24B/RPS7B/CIC1/RPS6B/RPL24A/RPL27B/RPL20B/RPS7A/RPL18A/RPS24B/RPL14A/RPL6B/RPL11A/RPL38/RPL43A/RPS11A/RPS10A/RPL34B/RPS31/RPL20A/RPS13/RPP1B/RPL39/RPL21A/RPL13A/RPL36B/RPS15/RPL28/RPS12/RPS16A/RPS23B/RPL40A/RPS16B/RPP2A/RPS21A/RPL22A/RPL37A/RPS10B/RPS17B/RPS1A/RPS20/RPS5/RPS2/RPS18A/RPL2A/RPL2B/RPL17A/RPL7B/RPS25A/RPL17B/RPL35B/RPL1A/RPS4A/RPL8A/RPL4A/RPL25/RPS29A/RPS21B/RPL15A/RPL32/RPL26A/RPL6A/RPS30B/RPS8A/RPL33B/RPS22B/RPL14B/RPS27A/RPL12B/RPS26A/SNU13/RPL22B/RPL16A/RPS29B/RLP7/MRPL7/ASC1/NHP2/RPL30/RPL19B/RPL33A/RPL13B/RPS23A/RPS4B/RPL5/RPL8B/RPL26B/RPS28A/RPS0A/RPS0B/RPS14B/RPL1B/RPP2B/RPL15B"
"GO:0015934","CC","GO:0015934","large ribosomal subunit",139,0.720141695165346,2.91280475840175,1e-10,2.3656e-08,2.18357894736842e-08,1302,"tags=83%, list=23%, signal=66%","RDN5-2/RPL43B/RDN58-1/MRPL50/RPL29/RPL10/RPL9B/RPL42B/MRPL39/MRPL31/RPL11B/RPL12A/RPL27A/RPL9A/MRPL20/RPL36A/RPL41A/RPL35A/MRPL38/RPP1A/RPL16B/MNP1/RPL34A/RPL23B/RPL7A/RPL40B/RPL37B/RPL31A/RPL21B/RPL24B/CIC1/RPL24A/RPL27B/RPL20B/RPL18A/MRPL15/RPL14A/RPL6B/RPL11A/RPL38/RPL43A/RPL34B/RPL20A/RPP1B/RPL39/MHR1/RPL21A/RPL13A/RPL36B/RPL28/MRP20/RPL40A/MRPL37/RPP2A/MRPL16/MRPL11/RPL22A/MRPL49/RPL37A/RPL2A/RPL2B/RPL17A/RPL7B/RPL17B/RPL35B/RPL1A/MRPL9/RPL8A/RPL4A/RPL25/RPL15A/RPL32/RPL26A/MRPL24/RPL6A/RPL33B/MRPL28/MRPL19/RPL14B/MRPL10/MRPL8/RPL12B/MRPL1/MRPL17/SNU13/RPL22B/RPL16A/RLP7/MRPL7/MRPL33/MRPL36/NHP2/RPL30/RPL19B/RPL33A/RPL13B/MRPL25/RPL5/RPL8B/RPL26B/MRP7/MRPL6/RTC6/IMG2/RPL1B/MRPL27/RPP2B/RPL15B/RPL42A/MRPL51/MRPL40/MRPL32/MRPL44/RPL41B/MRX14/MRPL3"
"GO:0002181","BP","GO:0002181","cytoplasmic translation",172,0.678960944878942,2.83397229751339,1e-10,2.3656e-08,2.18357894736842e-08,1171,"tags=70%, list=21%, signal=57%","RDN5-2/RPL43B/RPS22A/RDN58-1/RPS28B/RPS26B/RPL29/RPL10/RPS1B/RPL9B/RPL42B/RPM2/RPL11B/TUB4/RPL12A/RPL27A/RPL9A/RPL36A/RPS18B/RPL41A/RPL35A/RPP1A/RPS24A/RPL16B/RPL34A/RPL23B/RPL7A/RPL40B/RPL37B/RPL31A/RPS3/RPS17A/RPL21B/RPS30A/RPL24B/RPS7B/TIS11/RPL24A/RPL27B/RPL20B/RPS7A/RPL18A/RPS24B/RPL14A/TIF11/RPL6B/RPL11A/RPL38/RPL43A/RPS10A/RPL34B/TMA22/RPL20A/RPP1B/RPL39/RPL21A/RPL13A/RPL36B/RPS15/RPL28/RPL40A/RPP2A/GIR2/TIF5/RPL22A/RPL37A/RPS10B/RPS17B/RPS1A/RPS18A/RPL2A/RPL2B/RPL17A/RPL7B/RPS25A/RPL17B/RPL35B/RPL1A/RPS4A/RPL8A/RPL4A/RPL25/RPS29A/LSO2/RPL15A/RPL32/RPL26A/RPL6A/RPS30B/RPL33B/RPS22B/RPL14B/RPL12B/RPS26A/TIF35/TMA7/TIF34/RPL22B/RPL16A/RPS29B/SSB1/SUI3/RPL30/RPL19B/RPL33A/RPL13B/RPS4B/RPL5/RPL8B/RBG1/RPL26B/RPS0A/GIS2/RPS0B/RPS14B/CDC33/RPL1B/RPP2B/RPL15B/HCR1/RPL42A"
"GO:0022625","CC","GO:0022625","cytosolic large ribosomal subunit",92,0.752330634534802,2.80679677449313,1e-10,2.3656e-08,2.18357894736842e-08,1171,"tags=87%, list=21%, signal=70%","RDN5-2/RPL43B/RDN58-1/RPL29/RPL10/RPL9B/RPL42B/RPL11B/RPL12A/RPL27A/RPL9A/RPL36A/RPL41A/RPL35A/RPP1A/RPL16B/RPL34A/RPL23B/RPL7A/RPL40B/RPL37B/RPL31A/RPL21B/RPL24B/CIC1/RPL24A/RPL27B/RPL20B/RPL18A/RPL14A/RPL6B/RPL11A/RPL38/RPL43A/RPL34B/RPL20A/RPP1B/RPL39/RPL21A/RPL13A/RPL36B/RPL28/RPL40A/RPP2A/RPL22A/RPL37A/RPL2A/RPL2B/RPL17A/RPL7B/RPL17B/RPL35B/RPL1A/RPL8A/RPL4A/RPL25/RPL15A/RPL32/RPL26A/RPL6A/RPL33B/RPL14B/RPL12B/SNU13/RPL22B/RPL16A/RLP7/MRPL7/NHP2/RPL30/RPL19B/RPL33A/RPL13B/RPL5/RPL8B/RPL26B/RPL1B/RPP2B/RPL15B/RPL42A"
"GO:0005198","MF","GO:0005198","structural molecule activity",341,0.598704158346624,2.68829534378908,1e-10,2.3656e-08,2.18357894736842e-08,1216,"tags=62%, list=22%, signal=52%","RDN5-2/CIS3/HSP150/HHF2/RPL43B/RPS22A/RDN58-1/RPS28B/MRPL50/RPS6A/MRPS8/RPS26B/RPS9B/RPL29/RPL10/RPS1B/PIR1/RPL9B/RPL42B/MRPL39/TIM11/MRPL31/RPS19B/RPL11B/TUB4/RPL12A/NCW2/RPL27A/RPL9A/MRPL20/RPL36A/RPS18B/HTA1/RPL41A/RPL35A/MRPL38/RPP1A/MRPS16/RPS24A/RPL16B/TIP1/MNP1/RPL34A/RPL23B/RPL7A/RPS19A/RPL40B/RPL37B/RPL31A/RPS3/RPS17A/RPS8B/RPS11B/HHF1/SPR28/RPL21B/RPS30A/RPL24B/RPS7B/RPS6B/FYV4/RPL24A/RPL27B/RPL20B/RPS7A/RSM26/RPL18A/MRPL15/RPS24B/SPC29/RPL14A/MRP10/CSE2/RPL6B/RPL11A/RPL38/HHT2/RPL43A/RPS11A/RPS10A/RPL34B/RPS31/RPL20A/RPS13/RPP1B/RPL39/MHR1/RPL21A/RPL13A/RPL36B/RPS15/RSM10/RPL28/RPS12/RPS16A/MRP20/RPS23B/RSM18/RPL40A/RPS16B/MRPL37/RPP2A/RPS21A/MRPL16/MRPL11/RPL22A/MRPL49/MRP13/SWS2/RPL37A/RPS10B/RPS17B/RPS1A/RPS20/CDC3/RPS5/BBP1/RPS2/RPS18A/MRPS28/RPL2A/RPL2B/RPL17A/RPL7B/RPS25A/RPL17B/TUB2/RPL35B/RPL1A/RPS4A/MRPL9/RPL8A/MRPS17/RPL4A/RPL25/RPS29A/RPS21B/RPL15A/HTZ1/RPL32/RPL26A/MRPL24/RPL6A/RPS30B/RPS8A/RPL33B/MRPL28/MRPL19/NUP57/RPS22B/RPL14B/RPS27A/MRPL10/MRPL8/RPL12B/RSM24/MRPL1/MRPL17/RPS26A/RPL22B/RPL16A/RPS29B/RLP7/MRPL7/MRPL33/MRPL36/POM34/MRP21/SEC28/SPC110/RPL30/MRP2/RPL19B/NUP120/RPL33A/RPL13B/RPS23A/ARP9/SPC42/RPS4B/MRPL25/MRPS9/RPL5/RPL8B/RPL26B/MRP7/RPS28A/RPS0A/MRPL6/TUB3/SPI1/RTC6/RPS0B/IMG2/RPN7/RPS14B/SSS1/RPL1B/MRPL27/HHT1/RPP2B/RPL15B/HTB2/RPL42A/MRPL51/MRPL40/RPN9/ACT1/RSM19/MRPL32/RPS27B"
"GO:1990904","CC","GO:1990904","ribonucleoprotein complex",588,0.560294654485273,2.65111007346206,1e-10,2.3656e-08,2.18357894736842e-08,1667,"tags=61%, list=30%, signal=48%","RDN5-2/SCR1/SNR44/MRT4/RPL43B/RPS22A/RNP1/RDN58-1/SNR55/SNR13/RPS28B/MRPL50/RPS6A/MRPS8/RPS26B/RPS9B/RPL29/RLP24/RPL10/RPS1B/SNR6/RPL9B/RPL42B/RPM2/MRPL39/BFR2/SLX9/MRPL31/RPS19B/RPL11B/NOP58/RPL12A/MRS1/RRP3/RPL27A/RPL9A/MRPL20/SNR7-S/BFR1/RPL36A/RPS18B/CGR1/RPL41A/RPL35A/UTP8/MRPL38/RPP1A/MRPS16/RPS24A/RPL16B/MNP1/RPL34A/RPL23B/RPL7A/RPS19A/RPL40B/RPL37B/RPL31A/NOP13/DBP3/SNR7-L/SNR14/RPS3/RPS17A/RPS8B/RPS11B/SOF1/RPL21B/RPS30A/RPL24B/RPS7B/CIC1/RPS6B/FYV4/RPL24A/RPL27B/RPL20B/DIB1/RPS7A/RSM26/HIT1/RPL18A/MRPL15/SNR41/RPS24B/RPL14A/MRP10/TIF11/MAK16/RPL6B/RCL1/RPL11A/RPL38/RPL43A/RPS11A/RPS10A/LOC1/RPL34B/TMA22/RPS31/RPL20A/RPS13/RPP1B/RPL39/MHR1/RPL21A/UTP21/RPL13A/RPL36B/RPS15/NIP7/RSM10/RPL28/BUD21/RPS12/RPS16A/MRP20/RPS23B/RSM18/RPL40A/RPS16B/SNR39B/RIX7/MRPL37/HMO1/RPP2A/MUD2/RPS21A/MRPL16/SNT309/TIF5/MRPL11/RPL22A/MRPL49/MRP13/MAK21/SWS2/RPL37A/RPS10B/RPS17B/MSL1/RPS1A/RPS20/SMX2/NOP56/SEC65/CUS1/NME1/LSM3/RPS5/RPS2/RPS18A/MRPS28/RPL2A/RPL2B/RPL17A/SNR43/RPL7B/RPS25A/UTP4/RPL17B/UTP15/RPL35B/RPL1A/RPS4A/RSA3/MRPL9/RPL8A/SNR17A/SNR19/MRPS17/KRI1/RPL4A/RPL25/RPS29A/RPS21B/NOC2/RPL15A/NSA2/RPL32/RPL26A/MRPL24/RPL6A/RPS30B/SNR63/RPS8A/EBP2/RPL33B/MRPL28/SNR69/MRPL19/RPS22B/EFG1/RPL14B/RPS27A/MRPL10/MRPL8/RPL12B/RSM24/MRPL1/CBF5/MRPL17/RPS26A/SNU13/TIF35/TIF34/RPL22B/RPL16A/RPS29B/RLP7/MRPL7/MRPL33/MRPL36/SPB4/RRS1/MRP21/EMG1/SNR17B/ASC1/NHP2/SUI3/SNR191/UTP14/RPL30/MRP2/PRP18/RPL19B/LSM4/RPL33A/SRP21/MIP6/RPL13B/RPS23A/SRP68/RPS4B/MRPL25/MRPS9/RRP9/RPL5/SRP14/RPL8B/SAS10/RPL26B/MRP7/RPS28A/RPS0A/LSM1/MRPL6/RTC6/NOP16/RPS0B/IMG2/RPS14B/YTM1/NOP7/DBP10/RPL1B/LSM7/MRPL27/RPP2B/SNR3/RPL15B/HCR1/RPL42A/MRPL51/BUD22/MRPL40/NOP19/RSM19/MRPL32/RPS27B/SNR32/RDS3/UTP18/NOP14/RRP1/FUN12/ERB1/MRPL44/SSF2/RPL41B/MRP51/SNR70/NOP6/SMD3/MRP17/SNR30/MRX14/MRPL3/MRPS35/SMX3/RML2/SNR37/MRP4/CKA1/MRPS5/MRPL22/RRP5/RPL19A/SIS1/MRPS12/PUF6/HAS1/SMD2/EHD3/QRI5/LSM5/MRP49/NOP10/UTP13/NUG1/SNR24/BRX1/SNR128/ARX1/MRP1/RPS14A/PET123/MRPL35/SNR46/RSM22/BUD13/SRP72/PRT1/MRPL13/MNE1/RPL23A/RRP8/RPR1/PRP43/SUI1/REI1/EST3/RPF2/RPL18B/IMP3/RPG1/RPL4B/NOP1/RPL3/RSM23/RDN5-1/MAK31/SNR161/BUD20/ISY1/LSM6/RMP1/NOG1/SNR33/IMP4/SNR73/SLU7/RRP15/RPF1/LCP5/SNR64"
"GO:0022627","CC","GO:0022627","cytosolic small ribosomal subunit",62,0.743606962319115,2.61300238171789,1e-10,2.3656e-08,2.18357894736842e-08,1083,"tags=85%, list=19%, signal=70%","RPS22A/RPS28B/RPS6A/RPS26B/RPS9B/RPS1B/RPS19B/RPS18B/RPS24A/RPS19A/RPS3/RPS17A/RPS8B/RPS11B/RPS30A/RPS7B/RPS6B/RPS7A/RPS24B/RPS11A/RPS10A/RPS31/RPS13/RPS15/RPS12/RPS16A/RPS23B/RPS16B/RPS21A/RPS10B/RPS17B/RPS1A/RPS20/RPS5/RPS2/RPS18A/RPS25A/RPS4A/RPS29A/RPS21B/RPS30B/RPS8A/RPS22B/RPS27A/RPS26A/RPS29B/ASC1/RPS23A/RPS4B/RPS28A/RPS0A/RPS0B/RPS14B"
