"","ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment"
"sce03010","sce03010","Ribosome",204,0.572879984946577,2.42227988401271,1e-10,1.37e-08,1.15789473684211e-08,1595,"tags=65%, list=32%, signal=46%","9164928/852014/855002/851344/9164945/854354/855226/850592/851160/853557/855232/851325/851515/856868/855231/852967/856776/851104/856156/853349/853305/856094/853051/851422/850994/850434/850695/850359/855330/853250/856295/855190/853129/852585/852571/852058/852111/855150/851484/853578/852730/853249/9164934/855469/851035/856214/853382/855773/850882/855730/855270/851427/855826/854759/852487/855643/856784/850864/853867/852686/855265/852073/856401/851419/851022/850750/855536/851694/851823/850413/851478/851937/854338/851336/851611/854118/852976/9164935/856805/856544/853969/856552/855930/851990/850590/851692/856250/854028/852852/853864/850969/855414/854468/852553/852911/853135/852811/851058/855174/855436/854983/855772/851636/850764/851052/855918/852082/851498/856853/855415/852185/856371/856660/852188/856026/853931/854551/851476/855727/851589/855628/854029/854117/852337/851921/855410/852443/855960/854321/850509/855543/854902"
"sce01110","sce01110","Biosynthesis of secondary metabolites",355,-0.353416265478581,-1.73846083936612,1.3053977425314e-06,5.96131635756006e-05,5.03837725187558e-05,477,"tags=22%, list=10%, signal=21%","856665/853465/856722/851547/855247/853613/853155/853810/855855/851620/851468/855248/855750/854792/851541/852317/854932/852872/853755/856523/854093/855242/852875/853477/854529/851171/856884/850733/852495/850790/853902/850846/853654/850833/856442/854068/856470/854098/853169/853705/856079/855779/854448/853805/850361/850825/852667/853243/855349/856589/852883/850745/856398/850861/853086/853061/854849/854758/851193/855206/852951/856147/854900/850295/850342/850432/852639/853994/856579/855029/850616/850491/850370/852979/852978/853395/850469"
"sce01100","sce01100","Metabolic pathways",753,-0.290488118495965,-1.51538656212656,1.28506480152421e-06,5.96131635756006e-05,5.03837725187558e-05,794,"tags=24%, list=16%, signal=24%","856509/852857/855121/852442/851479/850777/854815/855260/856642/855149/854320/852636/856836/852196/855245/852291/852568/855368/851181/850519/852009/854205/850343/851126/854276/856460/856615/850941/850628/856234/855465/854570/856686/852424/856790/856473/855552/855313/850824/853172/854342/856375/850411/850310/854989/851910/851007/852893/852679/855441/856071/856683/854542/854099/856665/856432/853465/856722/851547/855247/853668/853613/853155/853810/855026/855855/853878/851620/853569/856187/851065/850305/855248/855750/852735/854792/851541/855553/852317/854163/854932/851474/852872/853755/854808/856523/854950/853541/854093/853861/855242/851829/852875/853204/853477/854529/850666/853481/851171/856884/854339/850733/852495/850790/853665/853902/850846/850376/855593/853654/854362/850833/856442/851168/851006/854068/855746/856766/856470/854098/853169/854233/852876/855845/853705/856079/854573/856625/855779/854448/853805/850361/850825/852667/853653/852924/854845/855594/853243/855349/853984/856589/855581/852883/850745/856398/850861/853086/853061/854849/851360/854758/851193/855206/853214/852951/856147/854900/853047/856464/850295/850933/850342/855288/850432/852639/853994/856579/855029/850616/850491/850370/852979/852825/852978/853395/850469/855849/856638"
"sce01320","sce01320","Sulfur cycle",7,0.934998959578571,2.00611043185325,7.13845667729986e-06,0.00024449214119752,0.000206639535395522,305,"tags=86%, list=6%, signal=81%","856296/853869/851010/850588/853466/853602"
"sce00100","sce00100","Steroid biosynthesis",18,-0.781292470538912,-2.22558150494045,2.55029972599732e-05,0.00048255163450578,0.000407842334196202,505,"tags=83%, list=10%, signal=75%","856597/854248/855753/855441/852872/855242/850790/850415/856470/852883/850745/856398/853086/852951/855029"
"sce01212","sce01212","Fatty acid metabolism",23,-0.732522416241143,-2.18294679208665,2.8178197635374e-05,0.00048255163450578,0.000407842334196202,603,"tags=61%, list=12%, signal=54%","856790/851547/855247/853810/855750/854808/855845/856079/852667/853653/853243/856464/855288/852825"
"sce00920","sce00920","Sulfur metabolism",13,0.835806722918715,2.10971700984141,1.83330967940112e-05,0.00048255163450578,0.000407842334196202,305,"tags=54%, list=6%, signal=51%","856296/853869/851010/850588/853466/855444/853602"
"sce00010","sce00010","Glycolysis / Gluconeogenesis",52,-0.57170133055381,-2.07662591340926,2.17855649003707e-05,0.00048255163450578,0.000407842334196202,469,"tags=44%, list=9%, signal=41%","853465/853155/851620/851541/854529/850733/852495/850846/854068/854098/853169/853705/853805/850825/855349/851193/855206/852639/856579/850370/852978/853395/850469"
"sce03050","sce03050","Proteasome",36,0.657702584922878,2.08025058436629,3.46343378003688e-05,0.000527211586516724,0.000445587971700651,1394,"tags=86%, list=28%, signal=63%","851967/850554/854435/853168/854735/856218/856422/851557/856607/852471/850613/854119/852239/852834/852037/852873/852003/854328/853036/856742/856731/850611/854882/854433/851408/856830/854284/855362/856223/853456/851461"
"sce01200","sce01200","Carbon metabolism",108,-0.419375549939408,-1.72140905460599,0.000318616453004671,0.00436504540616399,0.00368924314005408,469,"tags=29%, list=9%, signal=27%","853465/853155/853878/851620/851541/854932/853755/854093/854529/852495/850846/853654/854098/853169/853705/856079/853805/850361/852667/856589/850861/854849/851193/850295/852639/853994/856579/850491/850370/852979/853395"
