"","ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment"
"sce03010","sce03010","Ribosome",204,0.732132784020101,3.05513852751603,1e-10,1.37e-08,1.04210526315789e-08,1135,"tags=83%, list=23%, signal=67%","9164928/853557/853249/9164934/850969/856015/855190/856868/852487/850592/850695/850764/854939/855658/856544/855002/855414/852976/856656/856401/852730/855232/854982/851344/851336/851478/856094/856805/855655/852811/856784/856853/852804/854028/853969/852111/851484/855543/854984/856839/852337/856026/850994/853051/855628/852479/852852/852082/854489/854263/854029/851022/854741/853864/851515/851169/856217/851035/856156/851589/854468/854759/850864/855283/851636/851427/853250/852489/851477/855826/854117/851611/852775/854551/855174/852014/856250/856776/854658/851476/852571/854118/853931/851325/850750/853349/855643/850882/855270/852058/851162/856371/853587/852754/852061/851937/850590/854794/853674/855903/852911/853262/851419/855881/853610/853135/856352/855226/852319/853993/851104/853305/850716/852185/851058/855231/854902/854354/852206/854409/852073/855536/851082/856388/853700/855436/853382/852026/851755/851694/855469/852686/850509/854673/851498/855730/851823/855330/852188/855143/852853/856295/852254/855960/855173/853015/856610/852967/852443/855972/850682/852922/855727/854338/853128/856552/855918/850737/850434/853248/852742/852585/851990/855150/855560/856214/855930/855773/850359/856415"
"sce00100","sce00100","Steroid biosynthesis",18,-0.802385369524347,-2.31425298815337,1.6295897144776e-05,0.00111626895441716,0.000849102009122539,808,"tags=72%, list=16%, signal=61%","850790/856398/856470/856597/850415/853964/852951/855029/854248/852872/852883/855753/853086"
"sce00562","sce00562","Inositol phosphate metabolism",23,-0.7230033754285,-2.20674976552588,4.57237545438743e-05,0.00208805145750359,0.00158829884205037,1293,"tags=83%, list=26%, signal=62%","851910/855454/850574/851014/853574/855860/856229/853345/851789/851580/850941/851881/851753/851126/854815/854276/855595/855618/851620"
"sce04138","sce04138","Autophagy - yeast",90,-0.485902936532636,-1.91821121019455,6.13886126067811e-05,0.00210255998178225,0.00159933490738719,1265,"tags=49%, list=25%, signal=37%","852372/853710/851482/852088/851653/853574/856162/851877/855898/851788/852394/851585/850577/856315/852753/851580/856076/850941/851151/851753/852428/856576/852425/851339/856593/856866/855053/853632/851406/850319/855271/853803/853275/850511/851261/855479/854164/855937/850432/855622/856649/853529/852695/856612"
"sce04070","sce04070","Phosphatidylinositol signaling system",23,-0.686314194530323,-2.09476710528393,0.000297516611770217,0.00815195516250394,0.00620087254005294,1293,"tags=83%, list=26%, signal=62%","851910/855454/850574/851014/853574/855860/856229/853345/851789/851580/850941/851881/851753/851126/854815/854276/855595/855618/852169"
"sce01110","sce01110","Biosynthesis of secondary metabolites",355,-0.302075272772863,-1.44529475277577,0.0005748995354328,0.0131268727257156,0.00998509719435916,501,"tags=23%, list=10%, signal=22%","854872/852423/855245/853243/851171/856589/854529/855723/855349/854973/856722/855769/851564/853964/852875/853830/852951/854347/850833/853477/853155/851620/850825/855321/856615/855029/851541/856884/853805/854248/852872/853932/850616/852883/855247/853465/851539/851193/850432/856579/856314/852934/856791/854646/850295/854932/853705/852495/856137/856759/851646/853086/855205/854095/852414/853613/853902/854068/856147/851238/855291/850342/854448/854900/852667/855206/853994/853172/850733/850370/853163/851239/855145/854575/850861/855373/853395/854758/852978/852979"
"sce00190","sce00190","Oxidative phosphorylation",67,0.504086534825101,1.77588956287914,0.000737023214944896,0.0144245972067787,0.0109722253051947,825,"tags=51%, list=16%, signal=43%","855176/850651/855857/851002/853853/852142/851922/855675/850727/853507/854077/856131/851111/854893/851492/853585/851560/856321/855298/856027/852688/852177/850685/856448/853273/851892/854231/853709/851758/851983/853642/852296/852327/853095"
"sce03020","sce03020","RNA polymerase",31,0.622003239242327,1.878059620102,0.000986237567676728,0.016889318346464,0.0128470419999995,989,"tags=55%, list=20%, signal=44%","855609/856547/853442/856226/851734/853293/854399/854385/852810/852451/853526/854518/855473/854791/853301/856317/851615"
"sce03050","sce03050","Proteasome",36,0.589236587180183,1.83015025527221,0.00143397114949354,0.0218282274978461,0.0166038764678199,1574,"tags=81%, list=31%, signal=56%","851967/852471/850613/856731/853168/854328/853036/852873/852003/854119/855362/856223/854882/856607/852834/852037/852239/850554/854433/851140/856422/853456/856218/854284/854735/851557/854544/856830/856742"
"sce03008","sce03008","Ribosome biogenesis in eukaryotes",82,0.460145510153012,1.67590213151307,0.00175141914808183,0.0229134945639763,0.0174293965565398,1763,"tags=54%, list=35%, signal=35%","9164928/9164934/851388/854487/853029/854152/851125/850625/851000/850894/9164967/851924/855118/9164981/850872/856687/855934/850883/9164985/851319/854881/853649/853376/850709/854776/856063/856471/850919/856723/856553/851548/9164945/850837/856012/855649/852779/855591/854227/850820/852007/852263/855280/851200/851939"
