"","baseMean","log2FoldChange","lfcSE","pvalue","padj","gene","significant"
"AAC1",61.8701494120078,0.500760289879809,0.257201069970459,0.0400430047746505,0.0698691730222692,"AAC1","Not Sig"
"AAD10",124.16534589253,-1.42723795470575,0.299765852232447,4.8074350660839e-07,2.50398433516512e-06,"AAD10","Down"
"AAD14",52.2031256437605,-0.842273634113223,0.400917442490221,0.0174960197469153,0.0341973216157387,"AAD14","Not Sig"
"AAD3",95.0596840046268,-8.80959775878447,2.78091232155151,3.05034959016756e-11,2.94200958748229e-10,"AAD3","Down"
"AAD4",685.643497931273,2.32109528691642,0.256682438067866,1.92835661200129e-20,5.08831456959208e-19,"AAD4","Up"
"AAH1",207.168983266856,-2.517643724597,0.195706707005988,9.79237343901971e-39,8.29977833604186e-37,"AAH1","Down"
"AAN1",93.3962732994935,0.085300942861866,0.255407809524692,0.726389297101859,0.784141591661096,"AAN1","Not Sig"
"AAP1",42.9204980766143,-0.159878400968521,0.321143340106302,0.585442031664728,0.662277598611221,"AAP1","Not Sig"
"AAR2",23.8678867925096,-0.429470095510604,0.337550540073859,0.161968611898655,0.230371831925013,"AAR2","Not Sig"
"AAT1",57.1924793048325,-1.40334888726286,0.285593371566261,2.56251256876048e-07,1.38767621584183e-06,"AAT1","Down"
"AAT2",291.352689962836,0.692648963531182,0.175186887079208,5.01289473649958e-05,0.000182091773740121,"AAT2","Not Sig"
"ABD1",41.6975480062217,-0.0941031768192531,0.280848711589452,0.720356250034556,0.779729909699943,"ABD1","Not Sig"
"ABF1",129.47370645181,0.227120830970563,0.211361005959694,0.266495526214578,0.346692086894035,"ABF1","Not Sig"
"ABF2",288.998574707308,1.23740879561534,0.273994060189451,2.0080827105757e-06,9.41593854397358e-06,"ABF2","Up"
"ABP1",120.131201845169,1.22320344131003,0.241024271814645,1.28282664278285e-07,7.40570922572473e-07,"ABP1","Up"
"ABP140",160.97223472269,1.5791561599768,0.265412550563923,5.80954809871095e-10,4.70994377741871e-09,"ABP140","Up"
"ABZ1",62.1716376289814,-0.783276078416044,0.308045759239436,0.00608834524178881,0.0134140225610739,"ABZ1","Not Sig"
"ABZ2",25.5383159503069,-0.675823129397648,0.352679184401036,0.0349306622191835,0.0622185274829605,"ABZ2","Not Sig"
"ACA1",264.998983037467,-0.187422683454743,0.204474137615037,0.342882885018845,0.426810604983405,"ACA1","Not Sig"
"ACB1",149.626804183096,-0.1773846253098,0.190818245851292,0.338235959053894,0.423002896254747,"ACB1","Not Sig"
"ACC1",1165.92787236391,-1.32411825782134,0.260650569450992,1.01283469178007e-07,5.93899084467264e-07,"ACC1","Down"
"ACE2",38.4801269687578,1.48688228132826,0.318311578555562,7.22907813604543e-07,3.64647999035511e-06,"ACE2","Up"
"ACF2",72.3177140711262,-0.959138668968985,0.279708077564877,0.000270736706356111,0.000834435887248533,"ACF2","Not Sig"
"ACF4",36.5821748884437,0.150822800812533,0.30820572110478,0.600139569796619,0.675353199244073,"ACF4","Not Sig"
"ACH1",376.063787535055,2.45581669357397,0.213152160267858,1.13150319012497e-31,6.80605252210657e-30,"ACH1","Up"
"ACK1",35.5392883251772,-0.682439384727881,0.313530491447378,0.0187054608552635,0.03628255905957,"ACK1","Not Sig"
"ACL4",50.6256158454905,-0.574380338882293,0.289350253226007,0.0342596685920919,0.0612687295729418,"ACL4","Not Sig"
"ACM1",27.699222190046,0.517838591413925,0.348195558071796,0.100429856009963,0.154511720164943,"ACM1","Not Sig"
"ACO1",1975.62307433344,0.37182911920768,0.259662523966435,0.13241654886925,0.194777326945723,"ACO1","Not Sig"
"ACO2",112.826651451419,0.693056886108312,0.257857710119085,0.00457936673178244,0.0104431216867472,"ACO2","Not Sig"
"ACP1",302.621248082209,0.917918469034076,0.180871049502918,1.94222684982784e-07,1.08323200378235e-06,"ACP1","Not Sig"
"ACS1",115.562567523724,0.22507708270936,0.257181038541039,0.357227340718213,0.442304060198691,"ACS1","Not Sig"
"ACS2",495.388595177638,-1.71052996502342,0.310176275737766,6.29925816944923e-09,4.41026911137659e-08,"ACS2","Down"
