"","baseMean","log2FoldChange","lfcSE","pvalue","padj","gene","significant"
"AAC1",61.8701494120078,-0.701096403943483,0.26532352968555,0.00359014398232172,0.0112827333916335,"AAC1","Not Sig"
"AAD10",124.16534589253,2.53917073978867,0.296398609399436,8.22900998848021e-19,4.51304724270179e-17,"AAD10","Up"
"AAD14",52.2031256437605,2.49828214825805,0.403676557086304,5.22210240076667e-11,9.97011632419411e-10,"AAD14","Up"
"AAD3",95.0596840046268,10.7895483279031,2.76044630830514,2.09271976750621e-16,8.80201081160131e-15,"AAD3","Up"
"AAD4",685.643497931273,1.98841276725048,0.241411260168785,1.90156330545999e-17,9.17012511270966e-16,"AAD4","Up"
"AAH1",207.168983266856,-0.735848881314702,0.221389418603372,0.000393919430044062,0.00170161026383512,"AAH1","Not Sig"
"AAN1",93.3962732994935,0.00402636420790057,0.245446231084812,0.986256548126692,0.991574250578849,"AAN1","Not Sig"
"AAP1",42.9204980766143,0.645129666230356,0.330722473836375,0.0228805107426477,0.0521146486540599,"AAP1","Not Sig"
"AAR2",23.8678867925096,0.0966210793379642,0.318237804247899,0.723937418188612,0.802875875762708,"AAR2","Not Sig"
"AAT1",57.1924793048325,1.43128566396989,0.288236082365693,1.1926715928892e-07,1.21746178353846e-06,"AAT1","Up"
"AAT2",291.352689962836,0.231026550424916,0.167101609782392,0.150773850967417,0.242940204604571,"AAT2","Not Sig"
"ABD1",41.6975480062217,0.244497315909789,0.271889717807872,0.316652273897981,0.437479086239887,"ABD1","Not Sig"
"ABF1",129.47370645181,-0.686448966815225,0.219916252775307,0.000864006177047066,0.00333251308188044,"ABF1","Not Sig"
"ABF2",288.998574707308,-0.914600950571256,0.273018655100668,0.000248445648934815,0.00114199257201426,"ABF2","Not Sig"
"ABP1",120.131201845169,-1.51926465547515,0.246844065891253,1.1365405312808e-10,2.03775888845666e-09,"ABP1","Down"
"ABP140",160.97223472269,-0.788607099719336,0.256827512284311,0.000762333469361811,0.00302446342383686,"ABP140","Not Sig"
"ABZ1",62.1716376289814,0.486696773471617,0.302736051440292,0.0657638280280211,0.124579361323654,"ABZ1","Not Sig"
"ABZ2",25.5383159503069,0.741457345858829,0.356673644153309,0.0148492479982281,0.0367700771179001,"ABZ2","Not Sig"
"ACA1",264.998983037467,0.263009134587939,0.201508701364685,0.167661953018649,0.264784871839991,"ACA1","Not Sig"
"ACB1",149.626804183096,0.436006446653047,0.189608674918747,0.0155269077822521,0.0381288508050563,"ACB1","Not Sig"
"ACC1",1165.92787236391,1.43464736798836,0.262822635709824,7.35823029290025e-09,9.33377330124354e-08,"ACC1","Up"
"ACE2",38.4801269687578,-1.5099720919248,0.322627109683229,4.20142629806375e-07,3.77251664708966e-06,"ACE2","Down"
"ACF2",72.3177140711262,0.459521963312591,0.274362501286204,0.0613512368737684,0.117373057138119,"ACF2","Not Sig"
"ACF4",36.5821748884437,-0.355252206257334,0.308710764197232,0.186915949435009,0.288841939541281,"ACF4","Not Sig"
"ACH1",376.063787535055,-0.892518412488533,0.204140272327992,3.99271093732357e-06,2.98998995761554e-05,"ACH1","Not Sig"
"ACK1",35.5392883251772,0.20223145795758,0.298229392141645,0.440317421199646,0.557775284010602,"ACK1","Not Sig"
"ACL4",50.6256158454905,0.630470197718886,0.291098046322833,0.0152827777307918,0.0376119043669378,"ACL4","Not Sig"
"ACM1",27.699222190046,-0.202669434643476,0.316797431087352,0.456938774075984,0.574321911379543,"ACM1","Not Sig"
"ACO1",1975.62307433344,0.65486565270891,0.264619271183825,0.00628029207917983,0.0179703088956174,"ACO1","Not Sig"
"ACO2",112.826651451419,0.538298028893447,0.245146251226374,0.0166459861515931,0.0403567093477256,"ACO2","Not Sig"
"ACP1",302.621248082209,-0.138234984996769,0.171597991570635,0.400015634197533,0.520513481670388,"ACP1","Not Sig"
"ACS1",115.562567523724,-0.138741102441993,0.248622526160252,0.539335178239129,0.648965581215248,"ACS1","Not Sig"
"ACS2",495.388595177638,1.45894261508822,0.3130277492587,4.57157928565448e-07,4.07869450142762e-06,"ACS2","Up"
"ACT1",1973.34560635263,0.100812915572256,0.226394395347642,0.633219739913239,0.730206395603929,"ACT1","Not Sig"
"ADA2",31.3264693956211,0.00305418324525149,0.296937600659526,0.992346239524818,0.995173790907549,"ADA2","Not Sig"
"ADD37",74.5724447141163,0.682622776841992,0.267543790872319,0.00502491836668286,0.0149042382519745,"ADD37","Not Sig"
"ADD66",53.0112973464566,-0.166498097138973,0.228076624352563,0.430484781264434,0.549174884012142,"ADD66","Not Sig"
"ADE1",118.141358393852,1.79639941488931,0.230575989155061,8.47254444862343e-16,3.2686492169379e-14,"ADE1","Up"
"ADE12",323.613870304989,0.566791343533113,0.174760308758716,0.000701163004791111,0.00281370577388915,"ADE12","Not Sig"
"ADE13",232.476533269836,1.28048113177183,0.254333639998778,8.87783989983523e-08,9.37030875465628e-07,"ADE13","Up"
"ADE16",225.208008034092,-0.639951219748383,0.181817815492882,0.000221209902201025,0.00103292837471831,"ADE16","Not Sig"
"ADE17",194.671737618192,1.65714011200984,0.275923034259498,2.25996813780112e-10,3.85434809843277e-09,"ADE17","Up"
"ADE2",112.591081623858,0.721645550498707,0.235652940472727,0.00097558774351896,0.00368995120841451,"ADE2","Not Sig"
"ADE3",278.16739721262,-1.15900519775115,0.222566397403695,3.93330552727582e-08,4.40058222391618e-07,"ADE3","Down"
"ADE4",62.2127033715547,0.187081948478759,0.272295232375329,0.443271032272361,0.560829292680692,"ADE4","Not Sig"
"ADE57",90.9679064356095,1.11361915745895,0.320730016210513,0.000111376261706663,0.000572645963223415,"ADE57","Up"
"ADE6",305.844931405902,1.26854886552146,0.301795186439674,4.65636054489181e-06,3.3830581902357e-05,"ADE6","Up"
"ADE8",87.5361460242393,0.433688966137088,0.233359187661983,0.043979254854897,0.0897883035249248,"ADE8","Not Sig"
"ADH1",1191.64123400754,0.154024003222944,0.173136559170507,0.351459827146662,0.472158086709517,"ADH1","Not Sig"
"ADH2",116.728484531127,1.47525455318925,0.308031266245307,2.45401342925872e-07,2.31496646260932e-06,"ADH2","Up"
"ADH3",461.026880337871,0.646282899097056,0.172154211482069,9.00047894480713e-05,0.00047543606437442,"ADH3","Not Sig"
"ADH4",27.9655792738961,0.365938213194561,0.333447927976162,0.197321776385348,0.300685921301999,"ADH4","Not Sig"
"ADH5",112.976030319707,0.49508476197261,0.231130633278538,0.0206154117625083,0.0480110796833768,"ADH5","Not Sig"
"ADH6",93.7434180284048,0.725313571558728,0.284660290945899,0.00450869046039762,0.0136038912812645,"ADH6","Not Sig"
"ADH7",626.768287130761,14.2298429232345,3.07043092008705,3.45485465937632e-27,4.02634520094816e-25,"ADH7","Up"
"ADI1",259.516780888437,-3.55168786501229,0.228763716129543,4.09649001078622e-55,4.58315302406763e-52,"ADI1","Down"
"ADK1",385.494116477062,0.464332026228768,0.180120279910998,0.0069247672393238,0.0195247721455531,"ADK1","Not Sig"
"ADK2",12.9381213718981,0.814156565145072,0.445459676560185,0.0217660114888621,0.0500860009332352,"ADK2","Not Sig"
"ADO1",284.783324158747,1.10333502281422,0.268802755964159,9.25187462776561e-06,6.23554056237601e-05,"ADO1","Up"
"ADP1",366.028094827535,-0.0500512755711327,0.154640153988597,0.736343502048423,0.812927876546059,"ADP1","Not Sig"
"ADR1",384.626060973172,-0.716774908338579,0.219553544107235,0.000484660198927639,0.00204772594622448,"ADR1","Not Sig"
"ADY3",302.70510000534,-0.635243368602017,0.354866484365727,0.0334852286507157,0.0714675196764989,"ADY3","Not Sig"
"ADY4",65.2266569062706,-0.19657450948536,0.269266291776471,0.417357969909583,0.536836165480388,"ADY4","Not Sig"
"AEP1",92.3321726321869,0.607820242525057,0.259332157035819,0.0102738023818153,0.0270709611511421,"AEP1","Not Sig"
"AEP2",112.782242868733,0.7594912676279,0.204406724544051,8.70075506454753e-05,0.000463489024647944,"AEP2","Not Sig"
"AEP3",80.0703785083877,-0.561921808916791,0.232665787293712,0.0090189309358405,0.0243685173892578,"AEP3","Not Sig"
"AFB1",14.4176504149953,-1.40570082344022,0.460400945499988,0.000307110415345151,0.00137108991495672,"AFB1","Down"
"AFG1",155.010750972508,0.0862300796850047,0.232124164703501,0.689802511870527,0.77602536964004,"AFG1","Not Sig"
"AFG2",41.4903003255991,0.727331085977042,0.351677256587978,0.0148106491922581,0.0367246327932144,"AFG2","Not Sig"
